,character,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_count
0,Leonard,0.008262957602016853,0.022095263657365246,0.005828164990749706,0.010467691068912299,0.01714899205337372,0.019066151589804545,0.03961810182034298,0.009403667526193192,0.009681655658975661,0.02714697903586047,104321
1,Sheldon,0.00877832322236275,0.022042273146262514,0.007015155737529207,0.011264978884863556,0.017042165962828783,0.02298012819138674,0.041265621985465926,0.010734420887907565,0.009480374713284315,0.028376814079615856,186596
2,Penny,0.007883418016108003,0.021944413983014707,0.006664960826601357,0.010027902669639703,0.018459626421025697,0.019629345322952078,0.039709519806021616,0.008492646610861328,0.00955270436573211,0.026574551303139963,82071
3,Howard,0.009027011164987494,0.020639157106325894,0.00714056146332602,0.011276777105487473,0.01749507427022344,0.02226010647960538,0.03954557522742199,0.010480276120341516,0.009544038120257675,0.026745664659111552,71563
4,Raj,0.009098721124197543,0.0204889720130078,0.007447471734991323,0.011407100372373587,0.018467033985408346,0.02176953276382079,0.03814723078737637,0.010295034457193887,0.009233516992704173,0.02534162327924649,59349
5,Amy,0.007266276215703906,0.02223626333568252,0.006221293348562541,0.010109601691414128,0.018177841502831176,0.02046222265425648,0.04024399134851394,0.009234732314272522,0.009137524605701232,0.027704196942817564,41149
6,Bernadette,0.007708455211810455,0.021576792043773014,0.006400770845521181,0.009738807254206958,0.018238755635087235,0.019271138029526135,0.039781134932378955,0.009497918028837881,0.008293471901992498,0.02563749612856602,29059
